  Assay:                                                       , Luminescence, dark adapt                                     , Description:                                                 , Luminescence assay with dark adapt, white 96 well plate 
  Software:                                                    , Fusion 3.50                                                  , Instrument Serial:                                           , --------- 
  Sample Map:                                                  , 96er                                                         , Description:                                                 ,  
  Detection Mode:                                              , Luminescence                                                 , Shaking:                                                     , Enabled 
  Plate Type:                                                  , Packard CulturPlate 96                                       , Temperature Control:                                         , Off 
  Well Read Time (secs):                                       , 2.0                                                          , Plate Pre-Count Delay (secs):                                , 0.0 
  Well Repeats:                                                , 1                                                            , Plate Repeats:                                               , 1 
  ExFilter1:                                                   , --Empty--                                                    , Gate/Delay1 (usecs):                                         , N/A 
  ExFilter2:                                                   , --Disabled--                                                 , Gate/Delay2 (usecs):                                         , N/A 
  EmFilter1:                                                   , --Empty--                                                    , EmFilter2:                                                   , --Disabled-- 
  Light Source:                                                , Not Defined                                                  , Number of Flashes:                                           , N/A 
  Gain:                                                        , 1                                                            , PMT Voltage:                                                 , 1100.0 
  G Factor Source:                                             , N/A                                                          , G Factor:                                                    , N/A 
  Plate Size:                                                  , 96                                                           , Lamp Intensity:                                              , 1 
                                                               ,                                                              ,                                                              ,                                                              
  Plate Seq#: 835  Comment:                                                                                                    ,                                                       Acquired: Freitag, 30. Juni 2006 08:07  Temperature Min/Max: 0.0/0.0°C 
  RLU                                                                                                                          ,                                                              File Report: C:\Fusion\Reports\Luminescence__dark_adapt_835.CSV 
      ,  1                ,  2                ,  3                ,  4                ,  5                ,  6                ,  7                ,  8                ,  9                ,  10               ,  11               ,  12  
   A  ,               1919,               1894,               2454,               4360,               1531,               1239,                719,               1427,               1717,               2107,               1992,               1269
   B  ,               1572,               1386,               2579,               1276,               1723,               1089,                948,               1431,               1528,               1537,               1447,               1240
   C  ,               5903,                758,               1883,               2125,               1458,               1604,               1433,               1906,               2451,               1576,               1822,               4296
   D  ,               2069,               2181,               1773,               1689,               1631,               1906,               1698,               1359,               1689,               1624,               2135,               1830
   E  ,               2214,               2372,               1505,               1930,               2036,               1921,               2157,               1560,               1422,               1434,               1761,               2073
   F  ,                721,               4550,               1497,               1551,               2349,               2023,               1900,               1703,               1970,               2016,               1247,               1591
   G  ,               1535,               1435,               1599,               2123,               2319,               2017,               1167,                950,               1513,               2772,               1873,                983
   H  ,               1587,               1783,               1422,               2274,               1440,               2131,               1469,               1693,               1612,               1340,               1780,               1487

