Plate	Well	GeneID	GeneSymbol
1	A01	NA	Mock
1	A02	NA	Mock
1	A03	22848	AAK1
1	A04	9625	AATK
1	A05	64781	CERK
1	A06	11069	RAPGEF4
1	A07	1111	CHEK1
1	A08	11200	CHEK2
1	A09	1119	CHKA
1	A10	1120	CHKB
1	A11	1128	CHRM1
1	A12	1147	CHUK
1	B01	NA	GFP
1	B02	NA	DDIT3
1	B03	51550	CINP
1	B04	11113	CIT
1	B05	1152	CKB
1	B06	1158	CKM
1	B07	1159	CKMT1
1	B08	1160	CKMT2
1	B09	1163	CKS1B
1	B10	1164	CKS2
1	B11	1195	CLK1
1	B12	1196	CLK2
1	C01	NA	AATK
1	C02	NA	MAP2K6
1	C03	1198	CLK3
1	C04	57396	CLK4
1	C05	25	ABL1
1	C06	27	ABL2
1	C07	10188	ACK1
1	C08	90	ACVR1
1	C09	91	ACVR1B
1	C10	92	ACVR2
1	C11	93	ACVR2B
1	C12	94	ACVRL1
1	D01	NA	CD14
1	D02	NA	Mock
1	D03	8754	ADAM9
1	D04	57143	ADCK1
1	D05	90956	ADCK2
1	D06	79934	ADCK4
1	D07	203054	ADCK5
1	D08	132	ADK
1	D09	148	ADRA1A
1	D10	147	ADRA1B
1	D11	154	ADRB2
1	D12	156	ADRBK1
1	E01	NA	Mock
1	E02	NA	CD14
1	E03	157	ADRBK2
1	E04	186	AGTR2
1	E05	203	AK1
1	E06	204	AK2
1	E07	205	AK3
1	E08	50808	AK3L1
1	E09	26289	AK5
1	E10	122481	AK7
1	E11	8165	AKAP1
1	E12	11215	AKAP11
1	F01	NA	MAP2K6
1	F02	NA	ATTK
1	F03	11214	AKAP13
1	F04	10566	AKAP3
1	F05	8852	AKAP4
1	F06	9495	AKAP5
1	F07	9472	AKAP6
1	F08	9465	AKAP7
1	F09	10270	AKAP8
1	F10	207	AKT1
1	F11	208	AKT2
1	F12	10000	AKT3
1	G01	NA	DDIT3
1	G02	NA	GFP
1	G03	238	ALK
1	G04	130399	ACVR1C
1	G05	55437	ALS2CR2
1	G06	65061	ALS2CR7
1	G07	269	AMHR2
1	G08	51378	ANGPT4
1	G09	255239	ANKK1
1	G10	54101	ANKRD3
1	G11	10290	APEG1
1	G12	26060	APPL
1	H01	NA	Mock
1	H02	NA	Mock
1	H03	369	ARAF1
1	H04	9891	ARK5
1	H05	10926	ASK
1	H06	83853	ASP
1	H07	472	ATM
1	H08	545	ATR
1	H09	9212	AURKB
1	H10	6795	AURKC
1	H11	552	AVPR1A
1	H12	553	AVPR1B
