Filename	Plate	Replicate
FT01-G01.txt	1	1
FT01-G02.txt	1	2
FT02-G01.txt	2	1
FT02-G02.txt	2	2
FT03-G01.txt	3	1
FT03-G02.txt	3	2
FT04-G01.txt	4	1
FT04-G02.txt	4	2
FT05-G01.txt	5	1
FT05-G02.txt	5	2
FT06-G01.txt	6	1
FT06-G02.txt	6	2
FT07-G01.txt	7	1
FT07-G02.txt	7	2
FT08-G01.txt	8	1
FT08-G02.txt	8	2
FT09-G01.txt	9	1
FT09-G02.txt	9	2
FT10-G01.txt	10	1
FT10-G02.txt	10	2
FT11-G01.txt	11	1
FT11-G02.txt	11	2
FT12-G01.txt	12	1
FT12-G02.txt	12	2
FT13-G01.txt	13	1
FT13-G02.txt	13	2
FT14-G01.txt	14	1
FT14-G02.txt	14	2
FT15-G01.txt	15	1
FT15-G02.txt	15	2
FT16-G01.txt	16	1
FT16-G02.txt	16	2
FT17-G01.txt	17	1
FT17-G02.txt	17	2
FT18-G01.txt	18	1
FT18-G02.txt	18	2
FT19-G01.txt	19	1
FT19-G02.txt	19	2
FT20-G01.txt	20	1
FT20-G02.txt	20	2
FT21-G01.txt	21	1
FT21-G02.txt	21	2
FT22-G01.txt	22	1
FT22-G02.txt	22	2
FT23-G01.txt	23	1
FT23-G02.txt	23	2
FT24-G01.txt	24	1
FT24-G02.txt	24	2
FT25-G01.txt	25	1
FT25-G02.txt	25	2
FT26-G01.txt	26	1
FT26-G02.txt	26	2
FT27-G01.txt	27	1
FT27-G02.txt	27	2
FT28-G01.txt	28	1
FT28-G02.txt	28	2
FT29-G01.txt	29	1
FT29-G02.txt	29	2
FT30-G01.txt	30	1
FT30-G02.txt	30	2
FT31-G01.txt	31	1
FT31-G02.txt	31	2
FT32-G01.txt	32	1
FT32-G02.txt	32	2
FT33-G01.txt	33	1
FT33-G02.txt	33	2
FT34-G01.txt	34	1
FT34-G02.txt	34	2
FT35-G01.txt	35	1
FT35-G02.txt	35	2
FT36-G01.txt	36	1
FT36-G02.txt	36	2
FT37-G01.txt	37	1
FT37-G02.txt	37	2
FT38-G01.txt	38	1
FT38-G02.txt	38	2
FT39-G01.txt	39	1
FT39-G02.txt	39	2
FT40-G01.txt	40	1
FT40-G02.txt	40	2
FT41-G01.txt	41	1
FT41-G02.txt	41	2
FT42-G01.txt	42	1
FT42-G02.txt	42	2
FT43-G01.txt	43	1
FT43-G02.txt	43	2
FT44-G01.txt	44	1
FT44-G02.txt	44	2
FT45-G01.txt	45	1
FT45-G02.txt	45	2
FT46-G01.txt	46	1
FT46-G02.txt	46	2
FT47-G01.txt	47	1
FT47-G02.txt	47	2
FT48-G01.txt	48	1
FT48-G02.txt	48	2
FT49-G01.txt	49	1
FT49-G02.txt	49	2
FT50-G01.txt	50	1
FT50-G02.txt	50	2
FT51-G01.txt	51	1
FT51-G02.txt	51	2
FT52-G01.txt	52	1
FT52-G02.txt	52	2
FT53-G01.txt	53	1
FT53-G02.txt	53	2
FT54-G01.txt	54	1
FT54-G02.txt	54	2
FT55-G01.txt	55	1
FT55-G02.txt	55	2
FT56-G01.txt	56	1
FT56-G02.txt	56	2
FT57-G01.txt	57	1
FT57-G02.txt	57	2
