Filename	Well	Flag	Comment
FT06-G01.txt	A01	NA	Contamination
FT06-G02.txt	A01	NA	Contamination
FT06-G01.txt	A02	NA	Contamination
FT06-G02.txt	A02	NA	Contamination
FT06-G01.txt	A03	NA	Contamination
FT06-G02.txt	A03	NA	Contamination
FT06-G01.txt	A04	NA	Contamination
FT06-G02.txt	A04	NA	Contamination
FT06-G01.txt	A05	NA	Contamination
FT06-G02.txt	A05	NA	Contamination
FT06-G01.txt	A06	NA	Contamination
FT06-G02.txt	A06	NA	Contamination
FT06-G01.txt	A07	NA	Contamination
FT06-G02.txt	A07	NA	Contamination
FT06-G01.txt	A08	NA	Contamination
FT06-G02.txt	A08	NA	Contamination
FT06-G01.txt	A09	NA	Contamination
FT06-G02.txt	A09	NA	Contamination
FT06-G01.txt	A10	NA	Contamination
FT06-G02.txt	A10	NA	Contamination
FT06-G01.txt	A11	NA	Contamination
FT06-G02.txt	A11	NA	Contamination
FT06-G01.txt	A12	NA	Contamination
FT06-G02.txt	A12	NA	Contamination
FT06-G01.txt	A13	NA	Contamination
FT06-G02.txt	A13	NA	Contamination
FT06-G01.txt	A14	NA	Contamination
FT06-G02.txt	A14	NA	Contamination
FT06-G01.txt	A15	NA	Contamination
FT06-G02.txt	A15	NA	Contamination
FT06-G01.txt	A16	NA	Contamination
FT06-G02.txt	A16	NA	Contamination
FT06-G01.txt	A17	NA	Contamination
FT06-G02.txt	A17	NA	Contamination
FT06-G01.txt	A18	NA	Contamination
FT06-G02.txt	A18	NA	Contamination
FT06-G01.txt	A19	NA	Contamination
FT06-G02.txt	A19	NA	Contamination
FT06-G01.txt	A20	NA	Contamination
FT06-G02.txt	A20	NA	Contamination
FT06-G01.txt	A21	NA	Contamination
FT06-G02.txt	A21	NA	Contamination
FT06-G01.txt	A22	NA	Contamination
FT06-G02.txt	A22	NA	Contamination
FT06-G01.txt	A23	NA	Contamination
FT06-G02.txt	A23	NA	Contamination
FT06-G01.txt	A24	NA	Contamination
FT06-G02.txt	A24	NA	Contamination
