"Batch"	"Well"	"Content"
1	"L02"	"sample"
1	"L03"	"sample"
1	"L04"	"sample"
1	"L05"	"sample"
1	"L06"	"sample"
1	"L07"	"sample"
1	"L08"	"sample"
1	"L09"	"sample"
1	"L10"	"sample"
1	"L11"	"sample"
1	"L12"	"sample"
1	"L13"	"sample"
1	"L14"	"sample"
1	"L15"	"sample"
1	"L16"	"sample"
1	"L17"	"sample"
1	"L18"	"sample"
1	"L19"	"sample"
1	"L20"	"sample"
1	"L21"	"sample"
1	"L22"	"sample"
1	"L23"	"sample"
1	"L24"	"sample"
1	"M01"	"sample"
1	"M02"	"sample"
1	"M03"	"sample"
1	"M04"	"sample"
1	"M05"	"sample"
1	"M06"	"sample"
1	"M07"	"sample"
1	"M08"	"sample"
1	"M09"	"sample"
1	"M10"	"sample"
1	"M11"	"sample"
1	"M12"	"sample"
1	"M13"	"sample"
1	"M14"	"sample"
1	"M15"	"sample"
1	"M16"	"sample"
1	"M17"	"sample"
1	"M18"	"sample"
1	"M19"	"sample"
1	"M20"	"sample"
1	"M21"	"sample"
1	"M22"	"sample"
1	"M23"	"sample"
1	"M24"	"sample"
1	"N01"	"sample"
1	"N02"	"sample"
1	"N03"	"sample"
1	"N04"	"sample"
1	"N05"	"sample"
1	"N06"	"sample"
1	"N07"	"sample"
1	"N08"	"sample"
1	"N09"	"sample"
1	"N10"	"sample"
1	"N11"	"sample"
1	"N12"	"sample"
1	"N13"	"sample"
1	"N14"	"sample"
1	"N15"	"sample"
1	"N16"	"sample"
1	"N17"	"sample"
1	"N18"	"sample"
1	"N19"	"sample"
1	"N20"	"sample"
1	"N21"	"sample"
1	"N22"	"sample"
1	"N23"	"sample"
1	"N24"	"sample"
1	"O01"	"sample"
1	"O02"	"sample"
1	"O03"	"sample"
1	"O04"	"sample"
1	"O05"	"sample"
1	"O06"	"sample"
1	"O07"	"sample"
1	"O08"	"sample"
1	"O09"	"sample"
1	"O10"	"sample"
1	"O11"	"sample"
1	"O12"	"sample"
1	"O13"	"sample"
1	"O14"	"sample"
1	"O15"	"sample"
1	"O16"	"sample"
1	"O17"	"sample"
1	"O18"	"sample"
1	"O19"	"sample"
1	"O20"	"sample"
1	"O21"	"sample"
1	"O22"	"sample"
1	"O23"	"sample"
1	"O24"	"sample"
1	"P01"	"sample"
1	"P02"	"sample"
1	"P03"	"sample"
1	"P04"	"sample"
1	"P05"	"sample"
1	"P06"	"sample"
1	"P07"	"sample"
1	"P08"	"sample"
1	"P09"	"sample"
1	"P10"	"sample"
1	"P11"	"sample"
1	"P12"	"sample"
1	"P13"	"sample"
1	"P14"	"sample"
1	"P15"	"sample"
1	"P16"	"sample"
1	"P17"	"sample"
1	"P18"	"sample"
1	"P19"	"sample"
1	"P20"	"sample"
1	"P21"	"sample"
1	"P22"	"sample"
1	"P23"	"sample"
1	"P24"	"sample"
